hero,slot,ability,behavior,cast_point,damage_type,is_shard,is_scepter,anim_entry,anim_role,anim_instant_target,THREATS_ON_SELF,DISPLACEMENT_AFFORDANCE,ABILITY_TO_THREAT,THREAT_TIMING,THREAT_CATEGORY,THREAT_SEVERITY,LOTUS_WORTHY_INCOMING,ENEMY_CHANNEL_MODIFIERS,THREAT_TETHER_RANGE
abaddon,1,abaddon_death_coil,DOTA_ABILITY_BEHAVIOR_UNIT_TARGET,0.25,DAMAGE_TYPE_MAGICAL,,,,,,,,,,,,,,
abaddon,2,abaddon_aphotic_shield,DOTA_ABILITY_BEHAVIOR_UNIT_TARGET,0.3,DAMAGE_TYPE_MAGICAL,,,,,,,,,,,,,,
abaddon,3,abaddon_frostmourne,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,DAMAGE_TYPE_MAGICAL,,,,,,,,,,,,,,
abaddon,4,abaddon_withering_mist,DOTA_ABILITY_BEHAVIOR_FORCE_NO_INNATE_UI|DOTA_ABILITY_BEHAVIOR_HIDDEN|DOTA_ABILITY_BEHAVIOR_NOT_LEARNABLE|DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
abaddon,6,abaddon_borrowed_time,DOTA_ABILITY_BEHAVIOR_IGNORE_PSEUDO_QUEUE|DOTA_ABILITY_BEHAVIOR_IMMEDIATE|DOTA_ABILITY_BEHAVIOR_NO_TARGET,0,,,,,,,,,,,,,,,
abaddon,10,special_bonus_unique_abaddon_5,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
abaddon,11,special_bonus_unique_abaddon_7,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
abaddon,12,special_bonus_unique_abaddon_borrowed_time_cd,,,,,,,,,,,,,,,,,
abaddon,13,special_bonus_unique_abaddon_2,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
abaddon,14,special_bonus_unique_abaddon,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
abaddon,15,special_bonus_unique_abaddon_immolation,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
abaddon,16,special_bonus_unique_abaddon_3,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
abaddon,17,special_bonus_unique_abaddon_4,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
abyssal_underlord,1,abyssal_underlord_firestorm,DOTA_ABILITY_BEHAVIOR_AOE|DOTA_ABILITY_BEHAVIOR_POINT,0.5,DAMAGE_TYPE_MAGICAL,,,,,,,,,,,,,,
abyssal_underlord,2,abyssal_underlord_pit_of_malice,DOTA_ABILITY_BEHAVIOR_AOE|DOTA_ABILITY_BEHAVIOR_POINT,0.25,DAMAGE_TYPE_MAGICAL,,,,,,1,,1,1,1,1,,,
abyssal_underlord,3,abyssal_underlord_atrophy_aura,DOTA_ABILITY_BEHAVIOR_AURA|DOTA_ABILITY_BEHAVIOR_PASSIVE,0,DAMAGE_TYPE_PHYSICAL,,,,,,,,,,,,,,
abyssal_underlord,4,abyssal_underlord_raid_boss,DOTA_ABILITY_BEHAVIOR_HIDDEN|DOTA_ABILITY_BEHAVIOR_NOT_LEARNABLE|DOTA_ABILITY_BEHAVIOR_PASSIVE|DOTA_ABILITY_BEHAVIOR_SKIP_FOR_KEYBINDS,0,,,,,,,,,,,,,,,
abyssal_underlord,6,abyssal_underlord_dark_portal,DOTA_ABILITY_BEHAVIOR_IGNORE_BACKSWING|DOTA_ABILITY_BEHAVIOR_POINT,0,,,,,,,,,,,,,,,
abyssal_underlord,10,special_bonus_unique_underlord_7,,,,,,,,,,,,,,,,,
abyssal_underlord,11,special_bonus_unique_underlord_8,,,,,,,,,,,,,,,,,
abyssal_underlord,12,special_bonus_unique_underlord_6,,,,,,,,,,,,,,,,,
abyssal_underlord,13,special_bonus_unique_underlord_5,,,,,,,,,,,,,,,,,
abyssal_underlord,14,special_bonus_unique_underlord_4,,,,,,,,,,,,,,,,,
abyssal_underlord,15,special_bonus_unique_underlord_3,,,,,,,,,,,,,,,,,
abyssal_underlord,16,special_bonus_unique_underlord,,,,,,,,,,,,,,,,,
abyssal_underlord,17,special_bonus_unique_underlord_9,,,,,,,,,,,,,,,,,
alchemist,1,alchemist_acid_spray,DOTA_ABILITY_BEHAVIOR_AOE|DOTA_ABILITY_BEHAVIOR_POINT,0.1,DAMAGE_TYPE_PHYSICAL,,,,,,,,,,,,,,
alchemist,2,alchemist_unstable_concoction,DOTA_ABILITY_BEHAVIOR_IMMEDIATE|DOTA_ABILITY_BEHAVIOR_NO_TARGET,0,DAMAGE_TYPE_PHYSICAL,,,,,,,,,,,,,,
alchemist,3,alchemist_corrosive_weaponry,DOTA_ABILITY_BEHAVIOR_PASSIVE,0,,,,,,,,,,,,,,,
alchemist,4,alchemist_berserk_potion,DOTA_ABILITY_BEHAVIOR_HIDDEN|DOTA_ABILITY_BEHAVIOR_SHOW_IN_GUIDES|DOTA_ABILITY_BEHAVIOR_UNIT_TARGET,0.2,,1,,,,,,,,,,,,,
alchemist,5,alchemist_goblins_greed,DOTA_ABILITY_BEHAVIOR_FORCE_NO_INNATE_UI|DOTA_ABILITY_BEHAVIOR_HIDDEN|DOTA_ABILITY_BEHAVIOR_PASSIVE,0.2,,,,,,,,,,,,,,,
alchemist,6,alchemist_chemical_rage,DOTA_ABILITY_BEHAVIOR_NO_TARGET,0,,,,,,,,,,,,,,,
alchemist,7,alchemist_unstable_concoction_throw,DOTA_ABILITY_BEHAVIOR_AOE|DOTA_ABILITY_BEHAVIOR_HIDDEN|DOTA_ABILITY_BEHAVIOR_UNIT_TARGET,0.2,,,,,,,,,,,,,,,
alchemist,10,special_bonus_unique_alchemist_5,,,,,,,,,,,,,,,,,
alchemist,11,special_bonus_unique_alchemist,,,,,,,,,,,,,,,,,
alchemist,12,special_bonus_unique_alchemist_weaponry_power,,,,,,,,,,,,,,,,,
alchemist,13,special_bonus_unique_alchemist_7,,,,,,,,,,,,,,,,,
alchemist,14,special_bonus_unique_alchemist_8,,,,,,,,,,,,,,,,,
alchemist,15,special_bonus_unique_alchemist_2,,,,,,,,,,,,,,,,,
alchemist,16,special_bonus_unique_alchemist_6,,,,,,,,,,,,,,,,,
alchemist,17,special_bonus_unique_alchemist_4,,,,,,,,,,,,,,,,,
